family,storage_physiology,seed_longevity,seed_banking_rank,seed_banking_notes
Tetramelaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Tetrameristaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Theaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Thesiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Thurniaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Thymelaeaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Trigoniaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Tropaeolaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Typhaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Ulmaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Urticaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Velloziaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Verbenaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Viburnaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Violaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Viscaceae,Variable,Low–Medium,2,Limited data; assumed low–moderate suitability
Vitaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
Vochysiaceae,Mixed,Medium,3,"Mixed behavior; some orthodox, some problematic"
Winteraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Ximeniaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Xyridaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Zingiberaceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Zosteraceae,Recalcitrant,Low,1,Mostly recalcitrant or short-lived seeds; unsuitable for seed banking
Zygophyllaceae,Orthodox,High,5,"Highly suitable; orthodox, long-lived seeds; many crops and ornamentals"
